Player,Club,Price,Ownership Trend,Breakout Case
Colby McKercher,North Melbourne,"$449,600",High (42%),Elite ball user taking the primary quarterback role out of defence.
Connor Rozee,Port Adelaide,"$568,500",High (57%),Shifting to half-back under Josh Carr. Elite distributor scoring potential from the defensive half.
Nasiah Wanganeen-Milera,St Kilda,"$622,300",High (54%),Taking over the main midfield distributor role with Jack Steele and Zak Jones gone.
Ed Richards,Western Bulldogs,Premium,Medium,"Multiple avenues to score with his intercepting, run-and-carry, and ability to push forward."
Zach Reid,Essendon,Mid-Price,Low (Sleeper),Finally fully healthy and training the house down; a massive key-position sleeper.
Jagga Smith,Carlton,"$119,900",Massive (75%+),The ultimate basement-priced cash cow after missing his debut season. The most owned player in the game.
Darcy Wilson,St Kilda,Mid-Price,High,Won every pre-season time trial. Ready to explode with elite outside run and uncontested marks.
Connor McDonald,Hawthorn,Mid-Price,Medium,Transitioning into a primary inside-mid role. Has been a standout in match simulation.
Harvey Langford,Melbourne,Premium Rookie,High,Absorbing huge inside midfield minutes following the massive off-season departures in the Dees' engine room.
Ryley Sanders,Western Bulldogs,Mid-Price,Medium,"Ready to command a larger, more consistent slice of the Bulldogs' midfield rotation in his third year."
Tristan Xerri,North Melbourne,"$687,300",High (52%),The #1 owned premium ruck. Huge ceiling (scored 180+ late last year) and looks unaffected by new ruck rules.
Luke Jackson,Fremantle,"$611,200",Medium (25%),"A massive winner from the 2026 ruck rule changes; set for a huge spike in scoring, especially with Sean Darcy sidelined."
Tim English,Western Bulldogs,"$600,900",Medium (15%),"The new ruck rules perfectly suit his athletic, around-the-ground style over heavy wrestling."
Liam Reidy,Carlton,"$119,900",Massive (66%),RUC/FWD dual-position rookie. An absolute essential bench structure piece for cash generation.
Sam Flanders,St Kilda,"$396,600",Massive (64%),Locked into a heavily utilized forward/mid role at his new club. A must-have at his price point.
Mattaes Phillipou,St Kilda,"$168,400",High (57%),Fully fit and being unleashed into the midfield to support Wanganeen-Milera. Huge value.
Sam Lalor,Richmond,"$298,600",Medium (21%),Rebuilding Tigers will feed him maximum opportunities in his second year. Looks physically primed.
Cooper Hynes,Western Bulldogs,Rookie,Low (Sleeper),Built a massive tank over the off-season and has been winning beep tests. A great late-draft sleeper.
Lachie Dovaston,North Melbourne,"$136,000",Medium,Lightning-quick rookie small forward. A slow-burn cash generation option for the bench.
